Customer_ID,Age,Income,Spending_Score,Purchase_Frequency,Satisfaction_Score,Gender,Education_Level,Marital_Status,Employment_Status,Loyalty_Tier,Region,Online_Shopping_Frequency,Product_Category,Avg_Discount_Avail,Store_Visits_Per_Month,Customer_Rating,Credit_Score,Days_Since_Last_Purchase,Dependents
29,61,33231.72144,99.22364347,35,4,Male,High School,Married,Retired,Silver,South,7,Home,5.588444038,11,3.893162302,715.4364112,203,1
30,42,39871.68809,85.29107082,44,1,Female,PhD,Married,Unemployed,Platinum,North,23,Home,12.72653764,13,2.436669399,795.9093627,3,0
31,66,51974.50469,21.64254092,41,1,Female,High School,Divorced,Unemployed,Gold,West,4,,34.41940264,9,2.846645501,803.5101432,327,3
32,44,40888.57852,93.12892625,7,1,Female,High School,Married,Unemployed,Platinum,East,11,Home,6.146271128,14,8.096966578,727.1520409,164,4
33,59,44253.71313,12.52027339,,3,Female,Bachelor's,Single,Employed,Platinum,East,8,Home,7.862404828,4,2.504762691,425.5819601,127,0
34,45,285311.8597,81.92752114,13,3,Male,High School,Single,Unemployed,Silver,,2,Home,14.94854932,,1.256116527,313.6451315,44,1
35,33,42538.56739,38.68170605,18,3,Female,High School,Divorced,Retired,Bronze,North,2,Groceries,28.05978959,9,6.664194484,511.0756617,217,0
36,32,136579.5052,87.91945772,37,3,Female,Master's,Married,Employed,Silver,West,0,Home,29.56561517,14,9.783848075,377.851868,234,1
37,64,30430.38694,86.93761232,13,2,Female,High School,Divorced,Employed,Silver,West,24,Groceries,6.541750526,9,3.980924332,690.7132061,135,3
38,68,88186.48064,80.78661461,36,4,Female,Master's,Single,Employed,Gold,,21,Fashion,12.66652629,4,2.067901329,663.6218228,167,0
39,,73351.58751,79.21301319,31,4,Female,High School,Divorced,Employed,Silver,West,17,Fashion,,11,6.133485928,324.1844029,236,3
40,69,,31.16323477,2,1,Female,High School,Married,Retired,Bronze,East,23,Home,31.72732794,6,9.1571879,760.1265785,92,0
41,20,34565.05728,9.011009022,16,2,Female,PhD,Divorced,Unemployed,Platinum,South,,Fashion,11.67807634,,8.056556018,436.8087965,4,1
42,54,71721.22788,40.8950377,9,4,Male,PhD,Married,Retired,Silver,South,8,Groceries,22.94786354,2,6.602642816,537.7248915,155,1
43,68,146031.1563,18.17892698,9,3,Male,Master's,Married,Unemployed,Platinum,South,8,Fashion,45.69806464,1,3.835508469,667.3635545,244,0
,24,132515.9264,69.8001578,38,4,Male,High School,Single,Retired,Silver,North,17,Home,49.95046792,5,5.876921559,536.1803328,359,1
45,,126219.3692,35.26387293,11,2,Male,Bachelor's,Single,Employed,Platinum,,17,Groceries,49.42465047,,1.821203572,542.7082915,80,
46,26,53527.36752,97.58540989,22,3,Male,PhD,Single,Employed,Silver,,28,Electronics,44.67535296,8,7.110508819,336.0953974,246,2
47,,42215.38636,64.45623566,33,2,Male,Bachelor's,Married,Retired,Gold,North,6,Groceries,22.75970396,9,7.52586417,520.7939521,342,3
48,35,106923.6186,82.4255758,36,2,Female,PhD,Divorced,Retired,Platinum,North,26,Fashion,35.89584314,3,9.685284606,720.6663413,136,2
49,21,140818.8786,14.1199426,45,3,Female,PhD,Married,Unemployed,Silver,South,3,Electronics,23.74665025,10,3.343576229,803.3469855,62,2
50,42,92379.17609,86.33943374,23,3,Male,High School,Single,Retired,,South,12,Groceries,34.18371621,2,1.166107771,527.4234254,306,
,31,94309.64963,92.35296186,45,4,Female,PhD,Single,Retired,Gold,East,16,Electronics,18.92446119,8,5.91047618,532.9722048,115,4
52,67,56397.28218,49.21912996,45,4,Male,Bachelor's,Divorced,Unemployed,Gold,South,23,Electronics,32.27910141,7,7.36111454,686.4449085,112,4
53,26,120034.0813,61.01904084,34,3,Female,,Single,Unemployed,Gold,East,1,Electronics,28.56913234,5,8.113667283,818.5246006,30,4
54,43,44315.68731,76.71617029,9,4,Female,Master's,Single,Unemployed,Platinum,South,13,Groceries,6.101611962,,2.743650397,446.8835171,6,1
55,19,62078.30073,18.3090241,24,2,Female,High School,Single,Retired,Platinum,South,2,Fashion,,13,3.355775821,542.0793136,2,3
56,37,75306.73702,50.75404157,8,3,Female,High School,Divorced,Unemployed,Gold,West,4,Groceries,5.535402451,9,5.613318327,737.785284,306,3
57,,85989.34923,40.46763975,7,4,Female,Master's,,Employed,Bronze,South,13,Fashion,18.1920174,12,3.97540729,,242,2
58,,51513.26521,15.49102522,36,3,,Master's,Single,Employed,Bronze,South,2,,5.266582945,11,8.744603379,360.8224892,55,3
59,24,34928.78722,37.38590781,18,3,Male,Master's,Divorced,Employed,Silver,East,22,Groceries,21.9290636,10,5.263841384,645.2530046,72,2
60,61,99380.60552,7.749058629,3,2,Male,PhD,Single,Retired,Bronze,East,6,Groceries,7.842223767,0,8.196207797,402.7104565,9,3
61,25,57521.97192,3.555378788,28,3,Female,High School,Divorced,Employed,Silver,West,29,Fashion,46.10799351,,6.225577844,580.6187637,60,0
62,64,95560.96878,14.38146263,6,4,Male,Master's,Single,Retired,Platinum,South,17,Groceries,23.70556828,5,7.957811275,591.0067972,49,0
63,52,40067.15299,,44,4,Female,PhD,Divorced,Retired,Platinum,South,12,Electronics,25.67730987,12,3.994056879,781.9118492,121,3
64,31,82548.21324,55.40342405,44,4,Male,,Single,Employed,Bronze,East,28,Groceries,20.74326062,2,8.482749597,554.3718507,174,1
65,34,89236.62623,96.61639395,21,,Female,Bachelor's,Married,Unemployed,Platinum,North,22,Electronics,33.23777694,2,3.47115084,453.6933322,0,2
66,53,26737.05979,43.81728995,28,3,Male,Bachelor's,Single,Retired,Gold,North,26,Home,,5,5.914889272,427.0314915,37,3
67,67,63758.55617,31.86979718,40,3,Female,High School,Divorced,Employed,Gold,North,21,Home,34.16660344,12,2.926064019,780.8385322,189,2
68,57,37473.908,51.10804442,1,2,Male,PhD,,,Bronze,East,9,Fashion,38.66932033,,5.279738695,394.0559699,78,4
69,21,28238.74616,44.51165717,36,3,Female,Bachelor's,Married,Unemployed,Bronze,East,,Fashion,45.76881486,12,3.863576886,534.2277085,344,3
70,19,148694.8302,11.46080374,21,3,Male,Bachelor's,Single,Unemployed,,North,12,Home,43.85959393,10,3.400330876,402.9452132,337,1
71,23,61905.99985,64.44180515,43,5,Female,PhD,Divorced,Employed,Platinum,North,15,,35.33263037,9,9.702865162,725.3172221,189,4
72,59,125283.678,22.38778007,35,3,Female,Master's,Divorced,Retired,Silver,South,8,Groceries,14.65870833,5,2.440666949,560.904952,183,3
73,21,53103.28512,62.33920753,13,3,Female,PhD,Married,Retired,Silver,East,1,Groceries,33.6966283,4,8.085932537,493.1290298,66,0
74,46,108595.3539,65.36990815,49,3,Male,Master's,Divorced,Retired,Gold,East,22,Home,27.77373931,3,9.857484635,498.6048023,16,3
75,35,118829.6218,16.05046046,10,4,Male,Bachelor's,Single,Retired,Gold,North,4,Electronics,37.2748654,7,1.179113354,768.7178137,315,0
76,43,97433.03628,7.073613084,44,4,Male,Bachelor's,Single,Employed,Gold,North,28,Fashion,42.48192418,1,7.291246726,604.5756749,295,0
77,61,81304.90451,78.29539702,47,2,Female,Bachelor's,Single,Unemployed,Gold,West,21,Electronics,38.42246737,14,3.27620625,694.8273181,208,3
78,51,73539.31884,46.52024195,10,3,Male,High School,Divorced,Employed,Silver,East,16,Home,43.09525265,11,1.364390419,793.3711839,344,3
79,,65352.87465,6.758215755,46,4,Female,High School,Single,Retired,Gold,West,22,Electronics,,13,4.626006211,795.9579218,40,0
80,53,140838.7888,99.4917654,13,3,Male,High School,Single,Retired,Platinum,South,21,Groceries,6.422901721,10,9.416960292,,114,2
81,31,127980.523,6.720275539,37,2,Male,PhD,Single,Unemployed,Gold,West,3,Groceries,16.63252555,6,1.105885849,823.8481947,,4
82,48,145453.4984,69.80848766,38,4,Male,Bachelor's,Married,Retired,Gold,North,16,Electronics,45.52997378,3,6.290971227,313.6817351,344,1
83,65,36158.63905,98.3842136,24,4,Male,Bachelor's,Divorced,Employed,Gold,East,8,Home,42.06466629,1,5.512568307,507.2595586,348,3
84,32,115012.7718,24.67883032,2,1,Female,PhD,Divorced,Employed,Bronze,East,19,Electronics,35.7227284,14,8.860457479,792.6893716,138,4
85,25,141984.2594,15.0826875,22,4,Male,,Divorced,Unemployed,Platinum,West,1,Groceries,36.53414003,6,1.756015431,451.0502839,315,4
86,31,43560.2986,13.017109,17,4,Male,PhD,,Employed,Platinum,West,23,,37.70017112,12,7.133734269,450.1947977,323,2
87,40,28644.51476,31.02423961,36,,Female,High School,Divorced,Employed,Silver,South,17,,47.41712152,0,7.120987286,466.4422568,333,4
88,57,116345.6844,11.00353529,14,5,Female,Bachelor's,,Employed,Silver,South,20,Electronics,42.44860185,3,7.021720152,636.7723617,301,3
89,38,94681.50471,69.52397283,10,4,Male,Master's,Married,Employed,Gold,North,26,Groceries,33.05256742,8,9.481010454,541.0830266,293,4
90,33,,7.166888015,35,4,Male,High School,Divorced,Retired,Bronze,North,21,Groceries,34.95719459,13,8.407787761,699.70416,16,3
91,62,38170.40896,51.43279069,25,4,Female,Bachelor's,Single,Employed,Silver,North,10,Electronics,14.61831179,3,1.377754536,792.2008534,321,3
92,35,123384.7505,99.67298853,3,2,Female,Bachelor's,Single,Unemployed,Silver,West,12,Electronics,34.57934713,11,5.239745656,670.8096562,,0
,64,46211.55161,81.58305668,47,2,Female,Master's,Divorced,Unemployed,Gold,West,7,Fashion,24.11055556,12,4.581577506,412.4566961,73,2
94,41,41275.27257,61.90672438,38,3,Male,Bachelor's,Divorced,Employed,Gold,East,26,Home,11.88328418,2,3.79132499,812.9750463,262,1
95,43,41354.55373,31.31910846,,2,Male,Bachelor's,Married,Unemployed,Silver,,,Home,41.28812687,9,5.062030526,445.4710803,15,0
96,42,125894.7136,62.76568779,12,3,Male,High School,Divorced,Employed,Silver,West,16,,27.96111949,9,4.457747664,382.4418624,13,1
97,62,106475.6387,53.17710493,24,5,Female,High School,Married,Unemployed,Platinum,East,11,Home,48.98412688,,4.891005099,349.4820034,335,3
98,58,87998.50522,43.18225501,29,4,Female,Master's,Divorced,Unemployed,Bronze,North,,Groceries,,13,9.81335679,609.8610574,280,0
99,46,66647.96294,,43,4,Female,Master's,Single,,Platinum,South,20,Electronics,26.63015505,,1.797696773,362.5693544,360,4
100,32,134036.0703,88.77381731,25,4,Male,,Single,Employed,Silver,South,12,Electronics,25.15979546,2,9.300077829,,3,4
101,62,71017.86396,45.52868023,36,4,Female,High School,Divorced,Retired,Platinum,West,28,Electronics,,0,5.322130421,465.0167643,126,1
102,18,126157.9271,20.26762867,26,3,Male,Master's,Married,Employed,Platinum,East,8,Fashion,24.17518755,9,6.613680209,454.9091553,311,3
103,42,77087.53811,37.40817574,38,2,Female,Master's,Single,Employed,Silver,South,26,Home,17.93990554,,8.4716467,632.3317307,5,1
104,24,345013.8791,41.9988455,1,3,Male,PhD,Married,Retired,Gold,East,29,Fashion,12.21442121,0,4.244167262,749.2099037,128,2
105,26,80148.37214,82.92625166,20,4,Male,Master's,Divorced,Employed,Silver,East,6,Groceries,17.69700128,2,4.873797173,718.7423109,231,4
106,41,59179.12364,73.62782368,28,3,,Bachelor's,Divorced,Employed,Gold,South,22,Home,15.49632611,13,4.685666323,444.3664501,312,0
107,18,117189.2194,77.16118447,16,4,Male,High School,Single,Retired,Silver,,23,Fashion,38.0333089,2,4.372579203,434.9207739,194,0
,61,85353.65071,2.092095178,47,1,Female,Master's,,Employed,Silver,South,4,Electronics,6.384883022,12,9.329763895,831.1853416,64,0
109,25,250938.2518,42.19924582,17,,Male,PhD,Single,Employed,Silver,West,4,Fashion,32.78582366,14,8.460369021,304.5299329,320,4
,41,136944.6945,48.65307101,,4,Female,High School,Married,Retired,Bronze,North,16,Electronics,39.22976039,1,1.980999909,783.8462932,102,3
111,28,69905.85878,2.900035405,28,,Female,Master's,Single,Retired,Gold,North,29,Fashion,26.63255554,13,,409.8506855,276,4
112,68,90661.87194,26.72150767,12,5,Male,PhD,Single,Unemployed,Bronze,West,8,Fashion,,4,4.850825634,821.0063777,157,4
113,34,137841.3744,76.26869249,27,4,Female,Master's,Married,Employed,Silver,South,5,Fashion,36.85463129,9,1.887916391,488.2690067,223,0
114,25,101150.9395,14.57386087,42,5,Male,High School,Single,Unemployed,Platinum,South,24,Electronics,38.65656431,2,6.571837857,542.1934756,288,4
115,52,35196.74529,53.99570301,47,5,Female,High School,,Unemployed,Bronze,South,18,,13.86200693,2,2.293224465,688.9163377,277,0
116,52,142178.1761,22.30498533,30,4,Female,High School,Divorced,Retired,Gold,South,15,Home,39.97830091,7,5.701359376,623.2179783,181,
,50,101602.0469,2.19995669,41,4,Female,Bachelor's,Married,Employed,Silver,West,20,Home,42.44426312,3,1.064979523,474.8666313,3,2
118,22,63537.72991,24.8789443,34,1,Female,Master's,Single,Employed,Bronze,North,1,Home,21.25698748,3,3.849367136,604.6070037,214,0
119,59,38105.36945,97.61150174,37,3,Male,Bachelor's,Married,Retired,Platinum,East,9,Electronics,14.60133806,2,7.094716513,701.8887864,216,1
120,56,123223.2746,80.35217408,6,3,Female,High School,Married,Unemployed,Bronze,,15,Electronics,22.32728056,10,5.356350462,323.2842202,208,2
121,58,100609.4583,95.99808779,7,2,Female,,Single,,Gold,North,4,Home,38.28235861,0,9.804425374,306.1596179,73,3
122,45,89349.94196,49.29755035,32,2,Male,Master's,Divorced,Employed,Bronze,West,,Home,23.79375526,7,8.866934165,551.9368165,226,2
123,24,136206.0358,11.86388367,,5,Male,Bachelor's,Married,Retired,Platinum,East,12,Home,38.14933439,14,4.231637011,372.5101398,92,0
124,26,122517.6375,55.24798941,25,5,Male,Master's,Single,Employed,Platinum,,12,Groceries,10.11040434,0,1.409378873,665.3893603,64,3
125,25,39717.73437,45.98335612,33,4,Male,PhD,Married,Unemployed,Gold,West,12,Home,41.27052697,6,8.610636701,,320,1
126,29,,84.59135119,7,3,Male,Bachelor's,Divorced,Employed,Platinum,East,14,Fashion,16.39433667,4,9.201108793,538.0681087,9,
127,51,52303.58818,10.7101755,12,1,Male,High School,Divorced,,Silver,South,13,Groceries,16.20180445,3,8.385646541,408.7190153,302,0
128,50,,49.33587257,16,1,Female,Bachelor's,Divorced,Unemployed,Platinum,South,7,Groceries,31.56714343,3,2.151549468,601.6659722,321,
129,65,24359.21652,15.8548178,16,2,Male,Master's,Single,Employed,Silver,West,10,Electronics,8.155312059,7,9.98123621,363.8294027,304,3
130,40,94085.65903,33.14291676,43,1,Female,Master's,Single,Employed,Bronze,South,17,Fashion,6.183397701,10,3.327257994,312.708769,277,2
131,41,119119.6291,73.99835066,36,1,Male,Master's,Divorced,Unemployed,Silver,West,23,Electronics,16.74628994,,7.517844215,328.122401,85,1
132,54,133979.5328,48.12579481,13,5,Female,Master's,Single,Retired,Silver,North,,Electronics,29.21303978,12,9.172313887,,25,2
133,52,64470.62733,38.21294023,7,4,Female,High School,Divorced,Employed,Bronze,North,25,Fashion,45.84273738,13,3.121184029,378.2574202,217,2
134,61,126763.4496,40.05315158,36,2,,Bachelor's,Single,Unemployed,Platinum,East,9,Electronics,43.08958293,5,9.174326992,689.6630392,94,0
135,57,34382.1258,46.48523007,47,2,Male,High School,Divorced,Unemployed,Silver,West,0,,27.0700907,13,3.785334213,337.3594123,243,3
136,39,130038.7979,78.71663784,9,3,Male,High School,Married,Retired,Platinum,East,28,Fashion,6.667339716,11,,359.4881937,106,0
137,44,36573.5261,89.31638421,32,1,Male,High School,Divorced,Employed,Bronze,East,4,Electronics,29.08637306,0,3.531340183,579.8819383,247,1
138,52,71647.34777,95.57813396,11,5,,Master's,Divorced,,Gold,North,12,Home,36.715802,13,9.580922423,555.6790116,13,2
139,18,123648.3976,78.90343524,8,,Female,Master's,Single,Retired,Platinum,East,0,Electronics,20.26240396,9,1.481901858,823.3691702,160,1
140,52,39489.26556,32.22528268,33,3,Male,Master's,,Unemployed,Platinum,South,22,Groceries,9.997848648,7,7.383448105,819.6594992,70,3
141,54,49802.68138,69.1253359,23,3,Female,Bachelor's,Single,Employed,Gold,East,7,Electronics,17.53555789,12,5.789000205,728.7847534,151,3
142,64,113892.8339,44.32270928,,,Female,PhD,Single,Retired,Gold,West,2,Fashion,39.7214989,13,5.300893694,631.1560066,74,4
143,31,113604.7498,26.21239158,8,4,Male,Master's,Single,Unemployed,Bronze,South,2,Groceries,20.80597245,1,3.011448828,550.2281746,,1
144,20,103349.1923,84.24628636,45,4,,Bachelor's,Single,Retired,Platinum,North,,Fashion,41.53916708,5,7.350362108,495.8981939,50,0
145,18,110213.2978,4.804208547,22,4,Male,Master's,Married,Employed,Platinum,West,,Home,19.37846533,8,2.717285423,820.8981508,142,1
146,22,90554.17764,90.27443722,4,2,Female,Master's,Divorced,Retired,Bronze,South,2,Home,12.35997673,0,5.975576164,631.5998463,,2
147,43,52733.87766,46.686269,40,3,Male,High School,Divorced,Employed,Platinum,,14,Groceries,24.61317618,5,3.279208267,618.4898902,166,3
148,,64940.47916,64.0829462,3,3,Female,High School,Divorced,Unemployed,Silver,South,7,Home,25.35235305,7,9.600592418,427.545617,235,3
149,56,43607.70318,66.2760383,29,4,Male,,Married,Employed,Silver,West,2,Home,5.724869835,9,1.257680745,325.6837998,259,1
150,44,,89.61665633,41,3,Female,,,Unemployed,,West,28,Electronics,10.26702827,12,2.797554521,819.8537189,191,1
151,26,95840.93332,64.03029853,29,2,Male,PhD,Married,Unemployed,Platinum,South,29,Electronics,,1,3.180795457,472.5543924,201,1
152,32,72110.68418,61.77942489,34,3,Male,PhD,Married,Employed,Silver,North,6,Home,10.11142928,4,4.726610432,543.4239628,261,2
153,32,80060.75447,7.598552016,34,4,Female,,Married,Unemployed,Silver,North,17,Home,20.36867339,,3.094572177,,184,2
154,43,143146.8341,52.32239417,28,3,Male,Master's,Divorced,Retired,Bronze,West,10,Electronics,48.4080285,4,5.422141812,760.3083815,157,0
155,59,39935.68241,15.86673108,13,3,Male,Bachelor's,Married,Unemployed,Bronze,West,10,Home,27.91501422,2,8.852189709,315.1975081,245,1
156,30,96209.87816,74.0059431,15,3,Male,Master's,Divorced,Employed,Gold,North,16,Home,33.24002107,3,7.408570793,758.6949192,109,0
,68,85765.52825,51.70997016,23,4,Male,Bachelor's,Divorced,Retired,Gold,North,27,Fashion,21.03739153,6,6.219657825,377.156757,98,4
158,49,99489.05061,68.34255014,44,3,Male,Bachelor's,Single,Retired,Gold,East,5,Home,19.55694927,3,1.801028602,787.6102619,240,2
,56,22354.3239,5.12561716,26,,Male,Bachelor's,Single,Unemployed,Gold,North,7,Groceries,6.041604736,8,7.245928976,701.3749505,201,3
160,66,133376.1082,9.394409589,4,3,Male,PhD,Married,Unemployed,Bronze,West,0,Fashion,27.51501451,,2.497728559,390.5686444,121,4
161,69,141175.3767,71.91601542,26,5,Female,High School,Married,Employed,,South,28,Groceries,26.7624053,11,8.077306474,611.1998961,,3
162,49,93467.31387,8.136349264,40,4,Female,Bachelor's,Divorced,Retired,Bronze,North,9,Home,12.10238268,13,3.250510827,471.9609729,,
163,21,110564.6071,8.054416049,9,2,Male,,Married,,Silver,East,27,Electronics,39.39458001,12,4.753438555,398.0282044,233,0
164,47,699624.5978,,5,4,Male,High School,Married,Unemployed,Silver,East,24,Fashion,27.17034486,12,4.154231821,772.5502097,66,0
165,54,111941.0225,95.69363843,32,1,Male,High School,Divorced,Retired,Gold,East,18,Electronics,20.25472866,9,8.729325232,521.9375216,217,2
166,40,39830.07558,74.01332759,20,5,Female,Bachelor's,Married,,Silver,South,2,Fashion,11.61090091,1,2.138900128,519.1990429,14,3
167,56,94917.48682,35.97188944,11,4,Female,Master's,Married,Employed,Platinum,North,3,Electronics,29.84723721,4,6.090803941,393.4376711,272,4
168,62,98872.95603,30.35702255,,1,Male,,Divorced,Employed,Bronze,North,10,Fashion,38.87676617,7,2.278554485,510.6861218,218,1
169,32,75136.98727,35.62061974,32,4,Female,Master's,Divorced,Employed,Gold,North,14,Fashion,17.68997087,13,7.343162525,779.3892655,273,1
170,60,115737.7506,77.69069959,28,5,Male,Bachelor's,Single,Employed,Gold,South,0,Groceries,14.84574582,4,9.14570315,499.7207908,146,2
171,46,141467.7119,66.4756905,22,1,Male,Master's,Divorced,Retired,Platinum,South,,Electronics,28.48707338,9,,823.3819594,331,3
172,53,140323.9067,19.33436122,41,3,Male,PhD,Single,Employed,Silver,West,10,,11.99044861,11,5.392830342,820.4698946,343,1
173,30,78609.11828,18.2368242,17,4,Male,PhD,Married,Retired,Gold,East,18,Groceries,34.9976024,7,9.346805528,379.6942626,151,2
,49,34720.94596,,26,4,Female,PhD,Divorced,Employed,Silver,East,12,Electronics,32.24046326,7,5.688922498,397.5211894,346,2
,24,148029.3559,66.36996925,44,3,Female,PhD,Divorced,Unemployed,Silver,North,25,Fashion,8.918692232,8,5.388385942,774.4707387,303,3
176,68,129056.7512,76.67289356,7,2,Male,High School,Divorced,,Platinum,South,15,Groceries,6.643417072,9,6.204961924,516.0185054,,1
177,39,36206.14856,27.2395964,42,1,Female,,Married,Employed,Gold,South,3,Electronics,32.91298937,5,7.203067627,302.4056903,353,
178,45,139709.4447,,,3,Female,Master's,Single,Unemployed,Silver,North,,Fashion,18.24321983,11,1.961950376,450.6295008,83,1
179,19,133086.5271,9.13499508,,3,Male,Bachelor's,Married,Retired,Silver,North,19,Groceries,8.890058893,3,8.38999475,628.6959463,191,0
,59,87448.94743,96.81814345,10,5,Female,Master's,Married,Employed,Platinum,West,12,Groceries,39.17429172,11,4.919545247,739.5962813,40,1
181,62,96865.80665,30.24903297,45,1,Male,PhD,Divorced,Retired,Platinum,East,0,Groceries,19.13198014,10,1.651136589,373.3637394,351,4
182,23,71870.3515,77.15309164,19,4,Male,High School,Single,Employed,Silver,East,4,Fashion,25.68197973,2,8.075644023,360.7977504,323,0
183,45,27119.01305,,11,1,Male,PhD,Married,Unemployed,Platinum,East,4,Groceries,15.65658174,14,4.392549745,807.1509595,260,0
184,45,63575.64141,38.81202433,13,,,Bachelor's,Divorced,,Silver,West,,Fashion,33.22926853,11,1.903307456,713.1316023,308,0
185,61,124370.9483,21.36303896,8,3,Female,,Married,Unemployed,Gold,North,26,Home,18.56697869,13,6.704011356,624.3787804,135,0
186,61,20602.16299,13.0172554,40,3,Male,Bachelor's,Married,Unemployed,Bronze,North,22,Groceries,48.56094326,,8.921182181,723.0527345,277,2
187,37,63354.89232,61.88628384,4,,Female,Bachelor's,Divorced,Employed,Platinum,East,13,Home,36.63263969,5,8.989781585,535.8698987,105,4
188,47,71761.93017,77.68874428,47,5,Male,Bachelor's,,,Bronze,East,7,Electronics,11.15250244,2,9.618971273,717.150661,6,3
189,28,89861.42838,,31,4,Male,Master's,Single,Unemployed,,West,3,Groceries,23.75126779,1,8.809349138,504.4916452,301,1
190,45,,53.49991119,28,5,Female,PhD,Married,Employed,,South,6,Electronics,22.34394949,6,1.019268274,434.2520149,29,0
,42,65024.97927,5.15317112,11,5,Male,Bachelor's,Divorced,Employed,,South,19,Electronics,29.04111998,10,4.422170498,700.9573817,125,3
192,56,65103.91625,96.88038898,43,3,Female,Master's,Divorced,Employed,Bronze,East,,,42.88688035,4,8.366883219,530.8197607,356,2
,50,115875.1623,80.07270497,1,4,Female,High School,Single,Unemployed,Silver,West,14,Home,31.25399068,8,4.296277054,839.7574074,78,3
194,18,78788.33232,29.98938163,49,4,Male,Master's,Single,Employed,Platinum,East,,Fashion,7.770050492,14,6.413936557,492.2168503,66,0
