Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
141,Tyrrell Hatton,26,5,18,4,2,0,"$674,788",,,,,,1,57,235,25
142,Michael Kim,24,29,96,21,0,0,"$664,539",284.3,58.6,63.0,1.77,57.8,4,333,1101,259
143,Seung-yul Noh,26,28,81,15,1,0,"$661,711",295.3,49.1,64.5,1.76,52.9,5,289,910,221
144,Padraig Harrington,46,16,54,11,1,0,"$654,929",289.6,60.7,63.0,1.78,57.8,4,189,613,150
145,Mark Hubbard,,30,97,20,0,0,"$642,942",280.2,64.8,63.5,1.77,53.7,9,333,1110,259
146,Hiroshi Iwata,37,29,83,14,1,0,"$634,862",288.8,58.3,59.5,1.76,55.4,12,263,951,232
147,Nick Taylor,30,26,79,15,1,0,"$628,756",296.2,57.2,65.8,1.77,45.2,10,272,912,203
148,Ben Crane,42,27,77,13,1,0,"$607,892",280.3,63.2,63.6,1.76,56.6,3,264,894,209
149,Steve Wheatcroft,40,26,81,15,1,0,"$601,164",286.2,60.3,61.9,1.77,43.4,8,267,931,221
150,Chris Stroud,36,27,80,16,1,0,"$599,176",286.3,60.7,66.6,1.76,40.9,9,279,918,211
151,Kyle Stanley,30,28,89,17,0,0,"$580,734",288.1,64.5,67.2,1.77,41.7,8,307,1014,240
152,Andres Gonzales,34,28,78,12,1,0,"$579,667",294.7,54.6,66.2,1.79,48.7,4,277,873,208
153,Martin Piller,,22,57,8,2,0,"$570,740",286.6,59.0,64.3,1.78,58.2,4,183,671,135
154,Andy Sullivan,,11,36,9,0,0,"$561,779",,,,,,3,114,402,118
155,Tom Hoge,28,26,77,13,2,0,"$561,559",289.5,55.8,62.5,1.77,50.0,9,255,869,216
156,Ernie Els,48,21,66,12,1,0,"$559,024",292.8,52.9,61.2,1.76,41.9,9,218,725,204
157,Bronson Burgoon,,27,79,15,0,0,"$557,020",293.1,57.3,66.2,1.8,47.7,9,256,925,210
158,Michael Thompson,33,23,68,12,1,0,"$521,983",291.4,60.6,66.2,1.77,52.4,7,262,742,180
159,Jamie Donaldson,42,13,41,10,0,0,"$520,052",,,,,,3,124,470,128
160,Ross Fisher,37,4,14,3,1,0,"$518,643",,,,,,1,47,164,37
161,Tyler Aldridge,33,28,79,13,0,0,"$517,738",285.2,58.0,65.5,1.8,53.2,6,262,910,221
162,Sam Saunders,30,24,65,9,1,0,"$510,079",291.8,59.8,64.4,1.79,47.9,5,222,729,188
163,Chesson Hadley,30,27,79,13,0,0,"$503,993",296.5,56.6,65.3,1.78,47.1,3,286,866,238
164,Stuart Appleby,46,23,69,13,0,0,"$500,214",282.7,62.2,61.4,1.75,57.3,4,233,808,181
165,Greg Owen,46,29,81,13,1,0,"$484,955",297.7,59.2,69.8,1.82,40.5,7,278,910,228
166,Cameron Smith,24,24,69,12,0,0,"$477,843",286.3,59.2,62.7,1.77,55.3,2,231,774,202
167,Bryson DeChambeau,24,12,38,7,1,0,"$476,621",,,,,,1,133,423,116
168,Rob Oppenheim,,21,63,11,1,0,"$462,427",281.2,55.3,63.6,1.79,45.6,5,193,742,174
169,Steven Bowditch,34,26,71,11,1,0,"$458,891",288.9,43.0,54.5,1.78,57.4,4,214,735,241
170,Camilo Villegas,36,27,79,14,0,0,"$450,056",287.0,52.2,62.1,1.78,45.3,7,264,899,214
171,Brice Garnett,34,15,41,6,2,0,"$446,565",,,,,,1,154,467,100
172,Stewart Cink,44,19,61,11,0,0,"$437,855",296.9,58.4,70.4,1.81,43.8,6,216,698,162
173,Luke Guthrie,28,19,55,9,1,0,"$427,442",289.3,55.5,63.1,1.73,50.7,7,200,621,137
174,Jason Gore,43,27,74,12,0,0,"$416,654",289.2,63.6,66.5,1.78,42.6,7,256,844,185
175,Will MacKenzie,43,26,80,14,1,0,"$416,033",285.6,60.8,66.4,1.79,46.4,1,267,930,215
176,Brendon de Jonge,37,30,81,11,0,0,"$415,583",287.5,59.2,65.6,1.78,52.7,4,267,946,215
177,Jeff Overton,34,25,66,10,1,0,"$410,246",285.0,59.3,63.9,1.81,43.7,2,212,766,168
178,Kelly Kraft,29,20,59,10,1,0,"$403,437",289.8,60.4,67.4,1.77,47.9,6,211,670,157
179,Geoff Ogilvy,40,22,59,8,1,0,"$397,595",291.9,61.2,63.7,1.78,45.5,7,198,662,173
180,Bernd Wiesberger,32,11,30,6,0,0,"$390,674",,,,,,1,88,358,76
181,Scott Langley,29,22,63,10,0,0,"$380,025",285.7,64.8,63.9,1.81,52.7,4,197,749,172
182,Andrew Landry,,18,49,7,1,0,"$373,980",294.7,65.6,64.6,1.79,44.4,4,159,582,119
183,Ian Poulter,42,13,45,9,1,0,"$370,256",,,,,,4,126,535,117
184,Bobby Wyatt,,6,16,3,1,0,"$353,348",,,,,,1,61,177,44
185,Chris Wood,30,8,23,6,0,0,"$348,340",,,,,,4,65,254,61
186,Thomas Aiken,34,23,66,11,0,0,"$347,686",290.5,72.4,70.2,1.83,44.1,6,217,768,184
187,Wes Roach,29,21,55,8,0,0,"$342,098",294.7,61.0,63.2,1.76,43.7,5,196,606,159
188,Andrew Johnston,,4,16,4,1,0,"$336,762",,,,,,,,,
189,Scott Pinckney,29,29,85,15,0,0,"$332,533",296.8,63.1,69.0,1.8,39.8,10,303,944,243
190,Thongchai Jaidee,48,8,24,6,0,0,"$326,950",,,,,,,,,
191,Cameron Percy,43,15,45,9,0,0,"$313,456",,,,,,5,151,529,113
192,Mark Wilson,43,21,62,11,0,0,"$306,866",274.7,66.2,65.0,1.81,55.0,3,187,739,169
193,D.A. Points,41,18,51,9,0,0,"$305,250",282.3,59.5,65.4,1.79,43.0,3,185,561,155
194,Dawie van der Walt,35,25,70,11,0,0,"$301,697",290.2,56.9,66.8,1.78,38.2,9,243,777,213
195,Tim Herron,48,14,41,7,0,0,"$297,238",,,,,,1,132,475,117
196,Henrik Norlander,31,21,67,13,0,0,"$290,889",288.1,63.4,68.2,1.78,50.0,6,231,788,162
197,Justin Leonard,45,13,40,7,0,0,"$288,428",,,,,,1,120,470,114
198,J.J. Henry,43,24,66,11,0,0,"$280,674",287.3,59.3,67.5,1.84,47.7,4,182,788,200
199,Brian Gay,46,13,34,4,1,0,"$280,619",,,,,,,,,
200,Angel Cabrera,48,22,63,12,0,0,"$277,118",294.6,58.1,63.1,1.82,42.9,3,191,706,182
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
